country,sector,platform,pattern,currency,n_restaurants_ge2,n_snapshots,distinct_urls,earliest,latest,cdx_status,sample_url,sample_ts,sample_kb,sample_price_hits,sample_json_ld,sample_next_data,sample_block,sample_status
Indonesia,formal,gofood,gofood.co.id/*,IDR,4901,30000,21093,20191119,20251101,truncated,https://gofood.co.id/banda-aceh/restaurant/kha-kha-ice-drink-7f177dbc-5b24-48cc-9c9b-f2e9f94454a2,20210613082326,1024,0,Y,Y,,ok
Indonesia,formal,gojek food,gojek.com/*/food/*,IDR,0,0,0,,,empty,,,,,,,,
Indonesia,formal,gofood jakarta,gofood.co.id/jakarta/*,IDR,1344,9791,7339,20200214,20251101,ok,https://gofood.co.id/jakarta/jakarta-barat-restaurants/roti,20221129135203,313,0,Y,Y,,ok
Thailand,formal,grabfood TH,food.grab.com/th/en/*,THB,3724,30000,25029,20190817,20241222,truncated,https://food.grab.com/th/en/restaurant/on-the-table-%E0%B8%AD%E0%B8%AD%E0%B8%99-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0-%E0%B9%80%E0%B8%97%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B8%A5-%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%A5%E0%B9%80%E0%B8%9F%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%A7%E0%B8%B1%E0%B8%A5-%E0%B8%9E%E0%B8%B1%E0%B8%97%E0%B8%A2%E0%B8%B2-%E0%B8%9A%E0%B8%B5%E0%B8%8A-delivery/3-CYVGLNJYJ7MWT6,20210730163415,555,4,Y,Y,captcha,block:captcha
Thailand,formal,grabfood TH (TH),food.grab.com/th/th/*,THB,5037,30000,24203,20190716,20241214,truncated,https://food.grab.com/th/th/restaurant/%E0%B8%81%E0%B8%B4%E0%B8%99%E0%B8%9A%E0%B8%B4%E0%B8%87%E0%B8%8B%E0%B8%B9-%EB%82%80%EB%B9%99%EC%88%98-%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%A1%E0%B8%B5%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B8%8A%E0%B8%B1%E0%B8%A2-delivery/3-CZKERFTWNTBZAJ,20210802025132,253,4,Y,Y,captcha,block:captcha
Thailand,formal,lineman TH,lineman.co.th/*,THB,0,0,0,,,empty,,,,,,,,
Australia,formal,menulog (revisit),menulog.com.au/restaurants/*,AUD,6173,30000,14796,20180104,20251126,truncated,https://www.menulog.com.au/restaurants-al-pacinos-pizza-and-italian-cuisine-2160/menu,20241214193433,851,48,Y,Y,,ok
