/Users/erwenchen/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Historical HTML scraper — 1 target(s)
per_period=20, max_per_target=500


======================================================================
  Malaysia:grabfood-my  (food.grab.com/my/en/restaurant/*)
======================================================================
  [59/380] 20201101 https://food.grab.com/my/en/restaurant/4-season-music-restaurant-plaza … 37 items
  [60/380] 20201029 https://food.grab.com/my/en/restaurant/49-snow-chew-jetty-delivery/1-C … 36 items
  [61/380] 20210126 https://food.grab.com/my/en/restaurant/13-bento-taman-bukit-indah-deli … 11 items
  [62/380] 20210117 https://food.grab.com/my/en/restaurant/1901-hot-dogs-swan-setapak-deli … 11 items
  [63/380] 20210125 https://food.grab.com/my/en/restaurant/2nd-home-marina-square-2-non-ha … 126 items
  [64/380] 20210302 https://food.grab.com/my/en/restaurant/388-chicken-recipe-taman-island … 9 items
  [65/380] 20210117 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-east-co … 61 items
  [66/380] 20210117 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-gombak- … 53 items
  [67/380] 20210303 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-penang- … 62 items
  [68/380] 20210305 https://food.grab.com/my/en/restaurant/53-larut-matang-food-court-non- … 13 items
  [69/380] 20210121 https://food.grab.com/my/en/restaurant/7-to-8-cafe-lutong-baru-deliver … 27 items
  [70/380] 20210302 https://food.grab.com/my/en/restaurant/718-pizza-persiaran-greentown-8 … fetch fail
  [71/380] 20210305 https://food.grab.com/my/en/restaurant/77-penang-best-rojak-persiaran- … 1 items
  [72/380] 20210307 https://food.grab.com/my/en/restaurant/918-cafe-jalan-chung-thye-phin- … fetch fail
  [73/380] 20210302 https://food.grab.com/my/en/restaurant/a-w-penang-hill-delivery/1-CZCU … 56 items
  [74/380] 20210301 https://food.grab.com/my/en/restaurant/a-w-setapak-central-delivery/MY … 65 items
  [75/380] 20210117 https://food.grab.com/my/en/restaurant/aariya-bhavan-jalan-tun-sambant … 516 items
  [76/380] 20210120 https://food.grab.com/my/en/restaurant/absolute-thai-toppen-shopping-c … 36 items
  [77/380] 20210308 https://food.grab.com/my/en/restaurant/addon-white-coffee-jalan-raja-e … 101 items
  [78/380] 20210301 https://food.grab.com/my/en/restaurant/adyar-ananda-bhavan-brickfields … 16 items
  [79/380] 20210122 https://food.grab.com/my/en/restaurant/ages-ago-sutera-mall-delivery/1 … 15 items
  [80/380] 20210301 https://food.grab.com/my/en/restaurant/ah-cheng-bbq-seafood-jalan-meda … 16 items
  [81/380] 20210423 https://food.grab.com/my/en/restaurant/103-coffee-workshop-aeon-maluri … 105 items
  [82/380] 20210517 https://food.grab.com/my/en/restaurant/1977-new-ipoh-chicken-rice-peta … 75 items
  [83/380] 20210518 https://food.grab.com/my/en/restaurant/200%C3%A2%C2%B0c-chicken-cutlet … 39 items
  [84/380] 20210414 https://food.grab.com/my/en/restaurant/2118-lorong-baru-non-halal-deli … 9 items
  [85/380] 20210622 https://food.grab.com/my/en/restaurant/22-kam-wan-white-coffee-aneka-s … 77 items
  [86/380] 20210623 https://food.grab.com/my/en/restaurant/28-hainanese-chicken-rice-pavil … 91 items
  [87/380] 20210421 https://food.grab.com/my/en/restaurant/2f-coffee-roastery-mart-relau-d … 7 items
  [88/380] 20210508 https://food.grab.com/my/en/restaurant/300-restaurant-bar-desserts-del … 63 items
  [89/380] 20210518 https://food.grab.com/my/en/restaurant/3bg-%E2%80%93-3bg-food-station- … 31 items
  [90/380] 20210509 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-desa-sr … 58 items
  [91/380] 20210418 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-dpulze- … 61 items
  [92/380] 20210517 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-ioi-cit … fetch fail
  [93/380] 20210512 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-komtar- … fetch fail
  [94/380] 20210423 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-medan-n … 54 items
  [95/380] 20210517 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-petrona … fetch fail
  [96/380] 20210410 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-sunway- … 61 items
  [97/380] 20210615 https://food.grab.com/my/en/restaurant/575-restaurant-plaza-kingfisher … 33 items
  [98/380] 20210620 https://food.grab.com/my/en/restaurant/67-bus-cafe-changkat-bukit-bint … 36 items
  [99/380] 20210507 https://food.grab.com/my/en/restaurant/67-cafe-jalan-putera-delivery/1 … 117 items
  [100/380] 20210508 https://food.grab.com/my/en/restaurant/7-sins-fusion-kayu-ara-delivery … 8 items
  [101/380] 20210921 https://food.grab.com/my/en/restaurant/18-topspot-seafood-ah-hock-jala … 41 items
  [102/380] 20210727 https://food.grab.com/my/en/restaurant/88keto-mart-bangsar-delivery/1- … 38 items
  [103/380] 20210724 https://food.grab.com/my/en/restaurant/899-classic-bistro-cafe-bandar- … 26 items
  [104/380] 20210921 https://food.grab.com/my/en/restaurant/96-takar-pastry-house-tabuan-ja … 125 items
  [105/380] 20210917 https://food.grab.com/my/en/restaurant/99-fresh-mart-tabuan-tranquilit … 199 items
